,title,company,city,country,posted,link
142,Quality Control Engineer,Confidential -,"Wosta,","Beni Suef,",Egypt,https://wuzzuf.net/jobs/p/rthwbt7oz0ox-quality-control-engineer-beni-suef-egypt
143,Sales Support Engineer (Pre-Sales),ICON Holding -,"Helwan,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/2awabk3qkk8n-sales-support-engineer-pre-sales-icon-holding-cairo-egypt
144,Mobile Maintenance Engineer,Etisal EG -,"Cairo,",Egypt,2 months ago,https://wuzzuf.net/jobs/p/b9oygmwknaik-mobile-maintenance-engineer-etisal-eg-cairo-egypt
145,"Junior Engineer (Design Engineer, Civil)",Korea Hydro Nuclear Power co.LTD (KHNP)   -,"Dabaa,","Matruh,",Egypt,https://wuzzuf.net/jobs/p/fejdwnuptqne-junior-engineer-design-engineer-civil-korea-hydro-nuclear-power-co-ltd-khnp-matruh-egypt
146,Senior Planning Engineer,Infracon -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/cnfveotdfzhj-senior-planning-engineer-infracon-cairo-egypt
147,Automation & Internal Apps Engineer,Etisal EG -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/dtrp4zb6hy5m-automation-internal-apps-engineer-etisal-eg-cairo-egypt
148,IT Engineer,Food Alliance  -,"Alsadat City,","Monufya,",Egypt,https://wuzzuf.net/jobs/p/sdqvjswy6blp-it-engineer-food-alliance-monufya-egypt
149,Electrical Engineer,RISEUP (Endemag for Administrative Skills Development) -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/t5hy3etx75no-electrical-engineer-riseup-endemag-for-administrative-skills-development-cairo-egypt
150,Senior AI Engineer (LLM Systems & RAG),Seha Care -,"Sheraton,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/5r5a8qamypsz-senior-ai-engineer-llm-systems-rag-seha-care-cairo-egypt
151,Process Engineer,IMUT International Marathon United Technology -,"Obour City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/vvn6px1ufbol-process-engineer-imut-international-marathon-united-technology-cairo-egypt
